x	y	z	Event	Energy	Time
-1.1556044334e+00 9.4244611463e-01 -1.5206211203e+05 1 1.1415055194e+03 9.4399949237e-02
-1.1385319526e+00 9.2828190887e-01 -1.5309633345e+05 1 5.1269358289e+03 9.4006184349e-02
-1.1227509159e+00 9.1596900572e-01 -1.5391279008e+05 1 1.7197723724e+03 9.3695330278e-02
-9.0970604629e-01 7.3823530838e-01 -1.6536332155e+05 1 2.1097830065e+03 8.9335706172e-02
-6.8026056920e-01 5.6824181652e-01 -1.7798276171e+05 1 5.6772435085e+03 8.4531037482e-02
-3.3636630885e-01 4.4978456807e-01 -2.0928771878e+05 1 2.4703368658e+03 7.2612133078e-02
-3.1273435923e+04 -1.1513309782e+03 -2.0389068933e+05 1 1.3131603911e+03 1.0896600419e-01
-3.8307118046e+04 -9.9852593044e+02 -1.9623895282e+05 1 1.7339382349e+04 1.2214707131e-01
-3.1273435923e+04 -1.1513309782e+03 -2.0389068933e+05 1 2.0563418360e+03 1.0896600419e-01
-2.8689613856e-01 4.4042065162e-01 -2.1204300808e+05 1 2.3288605042e+03 7.1563097243e-02
-6.5393905274e-02 2.0423923911e-01 -2.6321316656e+05 1 2.2914762787e+03 5.2080824038e-02
-7.3249455635e-03 -9.8590929455e-03 -2.9896141815e+05 1 1.2434189380e+03 3.8470214714e-02
-4.5519455889e-03 2.1694448372e-03 -3.0674827131e+05 1 1.1008254271e+03 3.5505487900e-02
-4.1601379807e+03 4.5847252877e+03 -3.0736105647e+05 1 1.3983655389e+03 4.3769424100e-02
-9.4791889225e+03 9.1031442451e+03 -3.0588890148e+05 1 8.7845829141e+02 5.3470102650e-02
-1.6272606605e+04 1.1988593235e+04 -3.0151172336e+05 1 8.3941069007e+02 6.5444755256e-02
-2.3863059797e+04 1.5745956142e+04 -2.9979160775e+05 1 1.2368627018e+03 7.7772715887e-02
-3.1958227324e+04 2.2038880079e+04 -2.9952654595e+05 1 2.2123142762e+03 9.2405465081e-02
-4.1927438993e+04 2.2320797560e+04 -2.9653420508e+05 1 8.1421251406e+03 1.0753102520e-01
-9.4174913048e+00 -3.1823354540e+00 3.0860139762e+05 1 2.0744603768e+03 2.6979125595e-01
-9.3952035613e+00 -2.9068462628e+00 2.9785377594e+05 1 1.8547551200e+03 2.6569923634e-01
-9.3496301225e+00 -2.5812870728e+00 2.8577460787e+05 1 1.4757869237e+03 2.6110024804e-01
-9.2514993462e+00 -2.0993563172e+00 2.6472390083e+05 1 6.8032362821e+03 2.5308546255e-01
-1.6696465441e+04 3.7757748248e+03 2.6683151674e+05 1 2.8413451867e+03 2.8023302090e-01
-1.6696465441e+04 3.7757748248e+03 2.6683151674e+05 1 2.2192767462e+03 2.8023302090e-01
-9.2411275997e+00 -2.0697591174e+00 2.6337177296e+05 1 4.9931420316e+03 2.5257065734e-01
-8.3817663484e+00 -1.4401708270e+00 1.8519834256e+05 1 1.4392009162e+03 2.2280715583e-01
-8.3134655286e+00 -1.3897445303e+00 1.7963456185e+05 1 1.8640003668e+03 2.2068881990e-01
-8.2535846353e+00 -1.3771855333e+00 1.7562480910e+05 1 1.3826162614e+03 2.1916215965e-01
-7.9369167897e+00 -1.2758033180e+00 1.5970699773e+05 1 1.3329522078e+03 2.1310166473e-01
-7.5794049955e+00 -1.0654051321e+00 1.4113188356e+05 1 1.6075391840e+03 2.0602943862e-01
-7.5027889556e+00 -1.0082822589e+00 1.3645255578e+05 1 3.9952906051e+03 2.0424784729e-01
-7.3126223532e+03 -6.7166902698e+03 1.3751082902e+05 1 3.0573515020e+03 2.2231116133e-01
-7.3126223532e+03 -6.7166902698e+03 1.3751082902e+05 1 1.8513605463e+03 2.2231116133e-01
-7.1052007237e+00 -6.9281321233e-01 1.1694248703e+05 1 1.0097159170e+03 1.9681965192e-01
-6.5713033341e+00 -2.8659737151e-01 9.2833752740e+04 1 2.1201253539e+03 1.8764057929e-01
-5.9634973744e+00 -3.7696422129e-02 6.2448937736e+04 1 2.0809537391e+03 1.7607197741e-01
-5.5108072731e+00 1.8187396857e-01 4.1847932735e+04 1 1.1776058392e+03 1.6822842903e-01
-5.4033773107e+00 2.1327720023e-01 3.8116843375e+04 1 2.9615344367e+03 1.6680786830e-01
-5.2280371896e+00 2.5848419398e-01 3.1638798541e+04 1 1.2844625140e+03 1.6434144247e-01
-4.4722235348e+00 5.1685628718e-01 8.8178097389e+03 1 1.1302844430e+03 1.5565266894e-01
-4.4166162702e+00 5.3393926096e-01 7.1397523246e+03 1 1.4052033195e+03 1.5501377198e-01
-3.8055671554e+00 7.2301096349e-01 -1.1626621497e+04 1 1.2256354451e+03 1.4786873788e-01
-3.1590447462e+00 8.3148869698e-01 -4.1066863406e+04 1 1.2174677436e+03 1.3665978144e-01
-2.0340812807e+00 6.3273244375e-01 -9.1136900202e+04 1 1.4646803255e+03 1.1759632826e-01
-1.8864786064e+00 6.1646488727e-01 -9.7518120057e+04 1 5.5771799413e+03 1.1516677007e-01
1.6497957214e+04 4.8449246548e+03 -9.5306474580e+04 1 6.2871869978e+03 1.4136600840e-01
1.6497957214e+04 4.8449246548e+03 -9.5306474580e+04 1 1.0598072907e+03 1.4136600840e-01
-1.0076015678e+00 3.8258986743e-01 -1.4539359282e+05 1 9.0125321517e+02 9.6938878704e-02
7.9883782235e+02 -3.6092459571e+02 -1.4534624098e+05 1 1.3794781108e+03 1.0005236599e-01
